DateTime,AddedIPs,RemovedIPs
1602613007,8,14
1602614896,12,16
1602616814,16,9
1602618767,9,17
1602620660,18,15
1602622579,7,14
1602624529,19,14
1602626454,10,13
1602628340,21,20
1602630298,29,18
1602632177,13,18
1602634137,8,26
1602636017,8,16
1602637942,15,11
1602639889,13,14
1602641781,6,15
1602643700,10,12
1602645647,12,15
1602647539,16,20
1602649464,14,16
1602651408,10,8
1602653297,16,9
1602655244,14,17
1602657169,12,13
1602659058,8,13
1602660983,4,12
1602662931,10,8
1602664819,12,13
1602666769,11,19
1602668667,12,16
1602670578,14,31
1602672527,18,21
1602674416,5,16
1602676340,12,10
1602678288,16,11
1602680178,20,15
1602682097,7,19
1602684049,18,20
1602685940,15,12
1602687888,15,19
1602689782,14,7
1602691706,18,10
1602693648,20,7
1602695785,20,15
1602697699,10,21
1602699654,12,8
1602701539,7,12
1602703460,12,17
1602705404,10,11
1602707297,13,16
1602709298,19,9
1602711170,7,19
1602713068,10,6
1602714982,10,19
1602716929,11,26
1602718824,9,12
1602720841,5,8
1602723028,12,10
1602725191,13,19
1602727362,18,9
1602729237,10,12
1602731092,23,16
1602732982,19,11
1602734905,12,18
1602736822,13,10
1602738745,6,14
1602740688,13,10
1602742577,10,15
1602744508,10,11
1602746443,19,7
1602748356,10,5
1602750257,11,10
1602752219,7,14
1602754102,23,8
1602756056,24,18
1602757943,10,11
1602759866,11,14
1602761816,8,10
1602763704,12,13
1602765620,11,14
1602767572,11,15
1602769457,6,15
1602771621,8,17
1602773535,8,17
1602775494,12,15
1602777385,8,16
1602779296,12,16
1602781368,22,22
1602783405,7,16
1602785292,9,7
1602787260,9,10
1602789145,5,7
1602791062,17,17
1602793013,14,8
1602794897,15,17
1602796815,23,10
1602798776,16,12
1602800658,9,10
1602802582,15,10
1602804529,16,10
1602806513,12,8
1602808375,3,9
1602810271,14,9
1602812181,14,9
1602814133,10,22
1602816018,9,13
1602817938,4,24
1602819889,9,14
1602821776,6,11
1602823694,7,9
1602825648,7,10
1602827537,5,14
1602829472,10,8
1602831405,12,20
1602833295,11,14
1602835352,11,9
1602837168,8,8
1602839058,115,15
1602840980,15,22
1602842931,14,21
1602844827,8,12
1602846983,15,8
1602848902,11,10
1602850850,17,9
1602852741,11,15
1602854660,18,9
1602856614,13,5
1602858497,15,8
1602860555,10,12
1602862371,8,10
1602864259,12,7
1602866183,14,14
1602868133,13,19
1602870019,14,5
1602871944,17,10
1602873891,14,9
1602875780,8,6
1602877703,15,16
1602879660,11,16
1602881554,10,18
1602883466,13,19
1602885407,19,14
1602887299,97,11
1602889392,88,15
1602891614,52,20
1602893533,69,6
1602895481,36,5
1602897376,45,14
1602899293,70,11
1602901240,77,12
1602903141,46,7
1602905073,74,1
1602907028,60,14
1602908914,44,6
1602910894,40,7
1602912773,12,5
1602914657,22,7
1602916602,172,11
1602918521,166,14
1602920413,213,9
1602922330,64,6
1602924281,21,13
1602926171,17,116
1602928091,84,13
1602930042,78,8
1602931934,55,10
1602933853,57,16
1602935800,50,15
1602937692,105,14
1602939687,65,10
1602941537,94,18
1602943483,84,11
1602945393,28,15
1602947569,291,15
1602949506,291,7
1602951451,64,8
1602953329,11,18
1602955238,63,12
1602957186,89,16
1602959068,62,10
1602960994,64,16
1602962935,35,7
1602964858,103,16
1602966735,65,8
1602968681,12,16
1602970574,10,8
1602972492,22,40
1602974445,10,102
1602976338,10,74
1602978255,7,49
1602980199,12,63
1602982091,6,36
1602984009,6,45
1602985963,11,73
1602987856,9,75
1602989777,5,44
1602991717,12,68
1602993663,13,71
1602995532,6,37
1602997493,6,41
1602999377,7,11
1603001299,13,31
1603003240,10,180
1603005134,14,174
1603007050,9,213
1603008998,10,41
1603010888,3,20
1603012814,20,18
1603014760,12,93
1603016653,8,68
1603018571,10,62
1603020522,9,55
1603022463,16,55
1603024332,11,98
1603026280,10,65
1603028172,10,105
1603030093,6,67
1603032017,8,28
1603033931,8,282
1603035889,6,296
1603037771,9,68
1603039700,17,9
1603041637,7,63
1603043538,6,89
1603045456,7,64
1603047402,12,66
1603049290,29,32
1603051289,18,103
1603053161,18,68
1603055055,6,13
1603056975,9,8
1603058924,19,23
1603060816,25,8
1603062733,13,8
1603064682,15,9
1603066574,6,10
1603068490,8,8
1603070412,11,7
1603072331,10,9
1603074286,9,11
1603076178,2,5
1603078090,4,8
1603080991,15,16
1603082904,9,6
1603084843,8,7
1603086733,8,13
1603088676,8,14
1603090608,12,9
1603092490,14,16
1603094511,15,9
1603096364,13,8
1603098282,13,16
1603100179,17,13
1603102138,12,13
1603104044,11,4
1603105999,10,11
1603107897,16,13
1603110056,17,15
1603111946,4,10
1603113882,14,9
1603115835,13,8
1603117739,7,9
1603119716,8,6
1603121586,14,7
1603123473,9,11
1603125414,8,9
1603127336,9,8
1603129249,11,6
1603131204,13,10
1603133108,29,6
1603135029,15,34
1603136921,15,20
1603138874,10,17
1603140749,20,11
1603142681,20,4
1603144633,22,14
1603146490,12,25
1603148494,17,18
1603150361,9,15
1603152254,16,9
1603154170,19,7
1603156121,8,10
1603158010,15,11
1603159934,8,9
1603161880,22,8
1603163774,16,0
1603165691,16,10
1603167611,14,9
1603169530,10,8
1603171457,21,7
1603173370,10,7
1603175322,14,6
1603177363,14,14
1603179376,22,16
1603181543,12,14
1603183459,4,15
1603185404,20,12
1603187310,20,20
1603189252,10,8
