DateTime,AddedIPs,RemovedIPs
1602475302,10,1
1602477132,36,2
1602479059,8,4
1602481004,3,5
1602482896,2,5
1602484811,2,0
1602486764,0,5
1602488661,2,4
1602490572,0,3
1602492519,2,1
1602494411,1,3
1602496332,2,2
1602498282,4,2
1602500174,2,4
1602502117,3,3
1602504043,3,2
1602505933,3,2
1602507779,3,3
1602509771,4,3
1602511723,1,4
1602513613,3,3
1602515778,3,5
1602517692,3,3
1602519643,3,4
1602521534,2,2
1602523458,3,3
1602525401,2,1
1602527292,5,1
1602529284,3,2
1602531162,3,3
1602533056,1,3
1602534975,6,3
1602536926,1,3
1602538815,7,1
1602540734,3,2
1602542683,2,1
1602544572,2,3
1602546496,2,2
1602548442,6,2
1602550335,2,2
1602552255,3,3
1602554208,1,2
1602556101,0,6
1602558099,1,0
1602559936,4,5
1602561858,2,9
1602563801,0,38
1602565702,3,5
1602567643,5,3
1602569537,3,3
1602571456,3,1
1602573405,5,0
1602575308,4,2
1602579381,6,3
1602581323,4,0
1602583281,2,3
1602585137,3,3
1602587086,5,4
1602588977,1,1
1602590896,0,3
1602592848,2,4
1602594736,1,3
1602596659,3,3
1602598604,1,2
1602600496,4,2
1602602412,1,4
1602604367,3,2
1602606255,3,3
1602608177,4,2
1602610124,3,4
1602613009,9,3
1602614899,7,4
1602616817,2,5
1602618770,5,1
1602620663,2,5
1602622581,3,2
1602624532,8,4
1602626460,1,5
1602628343,2,2
1602630302,0,3
1602632180,3,2
1602634139,2,4
1602636020,3,4
1602637945,3,1
1602639892,4,3
1602641784,4,0
1602643703,3,1
1602645650,6,4
1602647542,5,2
1602649467,9,0
1602651412,4,3
1602653300,3,3
1602655253,2,3
1602657173,1,3
1602659064,1,6
1602660987,3,4
1602662935,6,1
1602664822,3,4
1602666772,3,5
1602668672,4,3
1602670582,4,2
1602672531,4,3
1602674419,4,3
1602676343,2,1
1602678291,4,1
1602680182,0,1
1602682100,2,2
1602684053,1,3
1602685943,5,3
1602687891,4,1
1602689786,3,3
1602691711,1,3
1602693651,1,3
1602695788,2,3
1602697702,5,6
1602699658,9,5
1602701542,0,7
1602703464,4,4
1602705409,4,3
1602707300,4,2
1602709334,3,4
1602711173,4,7
1602713073,3,1
1602714985,2,2
1602716933,2,0
1602718827,2,3
1602720847,1,2
1602723032,4,4
1602725195,4,6
1602727367,6,1
1602729241,4,6
1602731096,3,2
1602732986,2,8
1602734910,0,7
1602736826,4,6
1602738749,4,2
1602740692,1,4
1602742580,3,0
1602744512,4,2
1602746447,2,2
1602748359,2,6
1602750261,5,2
1602752226,8,4
1602754106,1,3
1602756066,3,4
1602757946,2,2
1602759870,3,6
1602761819,3,3
1602763708,5,4
1602765623,5,1
1602767575,4,0
1602769460,2,3
1602771624,6,4
1602773538,2,3
1602775497,2,4
1602777389,2,2
1602779298,1,1
1602781372,2,1
1602783408,5,3
1602785296,2,6
1602787264,6,6
1602789148,4,3
1602791066,4,4
1602793016,4,3
1602794901,2,3
1602796818,6,3
1602798779,7,5
1602800661,11,3
1602802585,3,1
1602804532,4,2
1602806555,3,2
1602808378,3,1
1602810277,3,3
1602812184,4,5
1602814136,4,6
1602816021,7,5
1602817940,1,1
1602819892,8,2
1602821779,2,2
1602823698,2,3
1602825651,9,4
1602827541,4,2
1602829475,7,4
1602831407,3,1
1602833297,5,3
1602835381,3,3
1602837616,2,8
1602839543,4,4
1602841485,6,1
1602843378,5,4
1602845296,3,2
1602847244,2,3
1602849135,5,2
1602851301,7,4
1602853375,0,8
1602855216,4,3
1602857082,3,5
1602858975,6,3
1602860979,4,1
1602862860,5,3
1602864743,1,1
1602866687,3,1
1602868583,4,1
1602870496,4,7
1602872448,3,1
1602874344,4,6
1602876260,7,5
1602878206,2,3
1602880093,3,4
1602882102,3,2
1602883966,2,6
1602885857,5,12
1602887773,2,6
1602889729,5,4
1602891617,2,2
1602893537,4,5
1602895485,4,1
1602897379,2,5
1602899297,2,5
1602901243,8,5
1602903144,2,4
1602905076,6,7
1602907032,7,2
1602908918,3,1
1602910991,2,6
1602912976,3,7
1602914923,2,4
1602916826,6,6
1602918733,1,3
1602920682,2,4
1602922571,3,3
1602924490,2,2
1602926442,6,6
1602928333,2,6
1602930256,0,3
1602932200,3,4
1602934091,6,2
1602936040,2,5
1602937962,4,6
1602939793,2,0
1602942049,5,5
1602943938,2,4
1602945858,2,5
1602947803,3,4
1602949696,2,4
1602951617,5,2
1602953572,6,3
1602955456,4,4
1602957684,5,3
1602959538,5,5
1602961489,5,4
1602963378,6,6
1602965305,3,3
1602967254,3,2
1602969137,4,4
1602971055,5,2
1602973007,4,4
1602974900,1,3
1602976814,5,4
1602978770,6,3
1602980658,4,2
1602982585,1,4
1602984530,3,3
1602986564,3,5
1602988576,2,4
1602990497,1,5
1602992443,4,7
1602994336,1,3
1602996254,3,4
1602998200,6,3
1603000090,1,2
1603002010,3,2
1603003959,2,6
1603005862,1,2
1603007794,1,1
1603009724,1,3
1603011750,3,2
1603013776,2,5
1603015716,1,2
1603017708,2,2
1603019536,2,4
1603021459,0,5
1603023427,5,3
1603025310,2,2
1603027267,3,3
1603029176,6,4
1603031074,1,1
1603033042,5,3
1603034905,4,3
1603036882,2,4
1603038825,4,3
1603040677,2,8
1603042590,3,2
1603044542,5,5
1603046442,3,4
1603048414,7,5
1603050305,1,9
1603052286,1,2
1603054114,5,1
1603056057,0,5
1603057948,2,4
1603059875,2,5
1603061844,3,2
1603063707,3,4
1603065687,7,5
1603067611,5,4
1603069471,2,2
1603071422,0,3
1603073329,2,2
1603075227,3,2
1603077177,2,1
1603079100,4,4
1603080994,6,1
1603082907,4,3
1603084845,2,6
1603086739,2,1
1603088681,3,3
1603090613,3,2
1603092496,3,1
1603094569,3,1
1603096370,2,2
1603098291,8,2
1603100185,4,2
1603102143,2,1
1603104049,2,2
1603106005,1,2
1603110062,7,6
1603111951,5,2
1603113887,5,2
1603115840,6,6
1603117744,1,2
1603119784,9,4
1603121591,3,4
1603123480,0,4
1603125419,4,2
1603127343,5,2
1603129254,5,3
1603131209,0,7
1603133114,3,1
1603135034,2,7
1603136926,3,1
1603138881,2,2
1603140754,2,4
1603142686,2,0
1603144639,4,3
1603146496,3,1
1603148592,1,4
1603150572,0,2
1603152522,4,9
1603154413,1,3
1603156333,5,2
1603158279,2,2
1603160173,3,0
1603162096,3,3
1603164040,5,4
1603165932,3,4
1603167883,1,4
1603169770,3,5
1603171718,2,1
1603173638,2,2
1603175534,4,4
1603177373,5,3
1603179381,5,3
1603181547,5,3
1603183466,2,2
1603185408,6,7
1603187315,5,4
1603189257,1,3
